押	yā	mortgage, pledge; deposit; to pawn; to arrest, detain, guard	押金 抵押	yājīn dǐyā
苛	kē	small, petty; harsh, rigorous	苛責	kēzé
鴿	gē	pigeon, dove; Columba species (various)	鴿子	gēzi
凸	tū	protrude, bulge out, convex		
匠	jiàng	craftsman, artisan; workman		
悼	dào	grieve, mourn, lament; grieved		
蛛	zhū	spider		
繩	shéng	rope, string, cord; measure, restrain	繩子	shéngzi
掠	lüè	rob, ransack, plunder; pass by		
瞞	mán	deceive, lie; eyes half-closed		
蔥	cōng	scallions, onions, leeks		
墳	fén	grave, mound; bulge; bulging	墳墓	fénmù
啤	pí	beer	啤酒	píjiǔ
滔	tāo	overflow; rushing water, a torrent		
贖	shú	buy, redeem; ransom; atone for		
蟬	chán	cicada; continuous		
蕉	jiāo	banana; plantain	香蕉	xiāngjiāo
貶	biǎn	decrease, lower; censure, criticize	貶值	biǎnzhí
裹	guǒ	wrap, bind; encircle, confine	包裹	bāoguǒ
朦	méng	condition or appearance of moon		
芽	yá	bud, sprout, shoot		
顫	chàn	shiver, tremble; trembling	顫抖	chàndǒu
燥	zào	dry, parched, arid; quick-tempered	乾燥	gānzào
啞	yǎ	dumb, mute; become hoarse	沙啞	shāyǎ
惰	duò	indolent, careless, lazy, idle	懶惰	lǎnduò
糧	liáng	food, grain, provisions	糧食	liángshi
貸	dài	lend; borrow; pardon	貸款 借貸	dàikuǎn jièdài
噢	ō	moan; interjection for pain, sad		
齣	chū	act; stanza; time, occasion		
簿	bù	register, account book, notebook		
喘	chuǎn	pant, gasp, breathe heavily		
腥	xīng	raw meat; rank, strong-smelling		
敷	fū	spread, diffuse; apply, paint	敷衍	fūyǎn
悍	hàn	courageous, brave; violent		
僵	jiāng	stiff and motionless, stock still		
尷	gān	embarrassed; ill at ease	尷尬	gāngà
締	dì	tie, join, connect; connection	締結 締造 取締	dìjié dìzào qǔdì
紮	zā	tie, fasten, bind		
斧	fǔ	axe, hatchet; chop, hew	斧頭	fǔtóu
襟	jīn	lapel, collar		
轄	xiá	linchpin of wheel; control		
鈍	dùn	blunt, obtuse; dull; flat; dull-witted	遲鈍	chídùn
腫	zhǒng	swell; swollen; swelling		
蹲	dūn	squat, crouch; idle about		
嗜	shì	be fond of, have weakness for	嗜好	shìhào
逾	yú	go over, pass over, exceed		
瀑	pù	waterfall, cascade; heavy rain	瀑布	pùbù
罕	hǎn	rare, scarce; surname		
癒	yù	get well, recover		
碌	lù	rough, uneven, rocky; mediocre	忙碌	mánglù
稻	dào	rice growing in field, rice plant	水稻	shuǐdào
譚	tán	surname; to talk		
撼	hàn	move, shake; (Cant.) to fight		
凋	diāo	be withered, fallen; exhausted	凋零	diāolíng
哨	shào	whistle, blow whistle; chirp		
掘	jué	dig, excavate; excavate cave	發掘	fājué
澀	sè	astringent; harsh; uneven, rough		
釁	xìn	smear with blood in sacrifice; rift, quarrel		
慚	cán	ashamed, humiliated; shameful	慚愧	cánkuì
隧	suì	tunnel, underground passageway, path to a tomb	隧道	suìdào
膨	péng	to swell; swollen, bloated, inflated	膨脹 通貨膨脹	péngzhàng tōnghuòpéngzhàng
詐	zhà	cheat, defraud, swindle; trick; to feign		
釀	niàng	brew, ferment	醞釀	yùnniàng
脂	zhī	fat, grease, lard; grease	脂肪	zhīfáng
凳	dèng	bench; stool	凳子	dèngzi
槓	gàng	lever, pole, crowbar; sharpen; (Cant.) a wardrobe, trunk		
拭	shì	wipe away stains with cloth		
捏	niē	pick with fingers; knead; mold		
拐	guǎi	kidnap, abduct; turn		
醋	cù	vinegar; jealousy, envy		
蔚	wèi	luxuriant, thick; ornamental		
鶯	yīng	oriole, green finch; Sylvia species (various)		
伶	líng	lonely, solitary; actor		
曬	shài	dry in sun, expose to sun		
鬍	hú	beard, mustache, whiskers	鬍子	húzi
膝	xī	knee		
曠	kuàng	extensive, wide, broad; empty	空曠	kōngkuàng
抉	jué	choose, select; gouge, pluck out	抉擇	juézé
溢	yì	overflow, brim over; full		
剖	pǒ	split in two, slice; dissect	解剖	jiěpōu
琉	liú	sparkling stone; glazed, opaque		
蝸	wō	a snail, Eulota callizoma	蝸牛	wōniú
逮	dǎi	seize, catch; reach, arrive	逮捕	dàibǔ
奕	yì	in sequence, orderly; abundant		
傍	bàng	by side of, beside, near, close	傍晚	bàngwǎn
鉤	gōu	hook, barb; sickle; stroke with		
蔑	miè	disdain, disregard; slight	輕蔑	qīngmiè
襪	wà	socks, stockings	襪子	wàzi
暇	xiá	leisure, relaxation, spare time		
扳	bān	pull; drag; right itself		
聳	sǒng	urge on; rise up; stir, excite; to raise up; lofty		
疤	bā	scar, cicatrix; birthmark		
蜘	zhī	spider		
姚	yáo	handsome, elegant; surname		
恍	huǎng	seemingly; absent-minded	恍惚	huǎnghū
堤	tí	dike		
窟	kū	hole, cave; cellar; underground		
繡	xiù	embroider; embroidery; ornament		
窺	kuī	peep, watch, spy on, pry		
沫	mò	froth, foam, bubbles, suds	泡沫	pàomò
葵	kuí	sunflower; measure		
隸	lì	be subservient to; servant	奴隸	núlì
轎	jiào	sedan-chair, palanquin	轎車	jiàochē
嘔	ǒu	to vomit; annoy, enrage		
蔽	bì	cover, hide, conceal; shelter	遮蔽	zhēbì
諜	dié	an intelligence report; to spy; spying		
襯	chèn	underwear; inner garments	襯衫	chènshān
晰	xī	clear, evident; clearly	清晰	qīngxī
膏	gāo	grease, fat; paste, ointment	牙膏 石膏	yágāo shígāo
蘆	lú	rushes, reeds		
斂	liǎn	draw back, fold back; collect		
皺	zhòu	wrinkles, creases, folds	皺紋	zhòuwén
峻	jùn	high, steep, towering; stern		
涕	tì	tear; snivel, nasal mucus	鼻涕	bítì
鈔	chāo	paper money, bank notes; copy	鈔票	chāopiào
沮	jǔ	stop, prevent; defeated, dejected	沮喪	jǔsàng
擲	zhì	throw (down), hurl, cast, fling		
袱	fú	a piece of cloth used wrap bundles	包袱	bāofu
蝕	shí	nibble away; erode; eclipse	腐蝕 侵蝕	fǔshí qīnshí
瞪	dèng	stare at		
丐	gài	beggar; beg; give	乞丐	qǐgài
舅	jiù	mother's brother, uncle	舅舅 舅媽	jiùjiu jiùmā
鹹	xián	salty, briny; salted; pickled		
淳	chún	honest, simple, unsophisticated; cyanogen; ethane dinitrile		
焚	fén	burn		
溉	gài	water, irrigate, flood; wash	灌溉	guàngài
蒐	sōu	collect, gather, assemble; seek; spring hunt; assemble for war		
戳	chuō	prick, stab; stamp, seal, chop		
雛	chú	chick, fledging; infant, toddler		
哄	hōng	coax; beguile, cheat, deceive		
菱	líng	water-chestnut, water caltrop		
肺	fèi	lungs	肺炎	fèiyán
軀	qū	body		
姨	yí	mother/wife's sister; concubine	阿姨	āyí
壟	lǒng	grave, mound; ridge in field	壟斷	lǒngduàn
盯	dīng	rivet gaze upon, keep eyes on		
奢	shē	extravagant, wasteful; exaggerate	奢侈 奢望	shēchǐ shēwàng
紗	shā	gauze, thin silk; yarn, thread		
菸	yān	to fade; withered or dried leaves; tobacco		
凹	āo	concave, hollow, depressed; a pass, valley		
腕	wàn	wrist		
怠	dài	idle, remiss, negligent; neglect	怠慢	dàimàn
蔭	yīn	shade, shelter; protect		
腎	shèn	kidneys; testes, gizzard		
擱	gē	place, put, lay down; delay		
搏	bó	seize; spring upon; strike	搏鬥	bódòu
穆	mù	majestic, solemn, reverent; calm		
飢	jī	hunger, starving; hungry; a famine	飢餓	jīè
蹺	qiāo	raise one's foot	蹺課	qiāokè
疵	cī	flaw, fault, defect; disease	瑕疵	xiácī
閥	fá	powerful and influential group	軍閥	jūnfá
憧	chōng	irresolute, indecisive; yearn for	憧憬	chōngjǐng
搗	dǎo	hull; thresh; beat, attack		
隙	xì	crack, split, fissure; grudge		
跪	guì	kneel		
逞	chěng	indulge oneself; brag, show off		
榕	róng	banyan tree		
俏	qiào	like, similar; resemble; pretty		
淆	xiáo	confused, in disarray, mixed up	混淆	hùnxiáo
俯	fǔ	bow down, face down, look down		
渣	zhā	refuse, dregs, lees, sediment		
緝	jī	to sew in close stitches	通緝	tōngjī
紳	shēn	girdle; tie, bind; gentry		
疆	jiāng	boundary, border, frontier		
饅	mán	steamed bread; steamed dumplings	饅頭	mántou
沸	fèi	boil, bubble up, gush	沸騰	fèiténg
餃	jiǎo	stuffed dumplings	餃子 水餃	jiǎozi shuǐjiǎo
憬	jǐng	rouse, awaken; become conscious	憧憬	chōngjǐng
駱	luò	a white horse with black mane; a camel	駱駝	luòtuo
芹	qín	celery		
徘	pái	walk back and forth, hesitate		
竄	cuàn	run away; revise, edit; expel		
啼	tí	weep, whimper; howl, twitter		
絮	xù	waste cotton, raw silk or cotton		
脊	jí	spine, backbone; ridge		
趴	pā	lying prone, leaning over		
滯	zhì	block up, obstruct; stagnant	停滯 滯留	tíngzhì zhìliú
嘶	sī	neighing of a horse; gravel voiced, husky throated; (Cant.) to hiccough		
拱	gǒng	fold hands on breast; bow, salute		
掀	xiān	lift, raise; stir		
輿	yú	cart, palanquin; public opinion	輿論	yúlùn
徊	huái	linger, walk to and fro, hesitain		
嘩	huā	rushing sound; gush forward		
憊	bèi	tired, weary, fatigued	疲憊	píbèi
茅	máo	reeds, rushes, grass; surname		
矯	jiǎo	correct, rectify, straighten out		
禽	qín	birds, fowl; surname;; capture		
崖	yá	cliff, precipice; precipitous	懸崖	xuányá
澆	jiāo	spray, water, sprinkle		
啄	zhuó	to peck; (Cant.) to slander		
銜	xián	bit; hold in mouth, bite; gag		
朽	xiǔ	decayed, rotten; rot, decay	腐朽	fǔxiǔ
揣	chuāi	put things under clothes		
寥	liáo	few, scarce; empty, deserted		
瑕	xiá	flaw in gem; fault, defect	瑕疵	xiácī
粥	zhōu	rice gruel, congee		
虔	qián	act with reverence; reverent	虔誠	qiánchéng
瞻	zhān	look; look out for; respect		
懦	nuò	weak, timid, cowardly	懦弱	nuòruò
滲	shèn	soak through, infiltrate	滲入	shènrù
簾	lián	a blind, screen, curtain		
萎	wēi	wither, wilt	萎縮	wěisuō
澈	chè	thoroughly, completely	清澈	qīngchè
磋	cuō	polish, buff; scrutinize	磋商 切磋	cuōshāng qiēcuō
瀉	xiè	drain off, leak; flow, pour down		
椒	jiāo	pepper, spices	辣椒	làjiāo
塌	tā	fall in ruins, collapse		
莽	mǎng	thicket, underbrush; poisonous		
壤	rǎng	soil, loam, earth; rich	土壤	tǔrǎng
脖	bó	neck	脖子	bózi
鍛	duàn	forge metal; temper, refine	鍛鍊	duànliàn
嚼	jué	prattle, be glib		
磅	bàng	pound; weigh		
蔓	màn	creeping plants, tendrils, vines	蔓延	mànyán
廓	kuò	broad, wide, open, empty; to expand	輪廓	lúnkuò
烘	hōng	bake, roast; dry by fire		
鑄	zhù	melt, cast; coin, mint		
嚷	rǎng	shout, brawl, make uproar, cry		
莖	jīng	stem, stalk		
噸	dūn	ton (metric or English)		
煤	méi	coal, coke, charcoal, carbon		
勘	kān	investigate; compare; collate		
殲	jiān	annihilate, wipe out, kill off		
扔	rēng	throw, hurl; throw away, cast		
杏	xìng	apricot; almond		
廈	shà	big building, mansion		
馴	xún	tame, docile, obedient	溫馴	wēnxùn
峙	zhì	stand erect, stand up; pile up	對峙	duìzhì
僻	pì	out-of-the-way, remote; unorthodox		
毆	ōu	beat, fight with fists, hit; to strike, brawl		
躁	zào	tense, excited, irritable	暴躁 急躁	bàozào jízào
誡	jiè	warn, admonish; warning		
鏽	xiù	rust, corrode		
扛	káng	carry on shoulders; lift		
頰	jiá	cheeks, jaw		
誦	sòng	recite, chant, repeat	背誦 朗誦	bèisòng lǎngsòng
樁	zhuāng	stake, post; affair, matter		
耽	dān	indulge in; be negligent	耽誤	dānwu
糞	fèn	manure, dung, night soil		
岔	chà	diverge, branch off; fork in road		
汲	jí	draw water from well; imbibe	汲取	jíqǔ
泌	mì	to seep out, excrete	分泌	fēnmì
皂	zào	soap; black; menial servant	肥皂 香皂	féizào xiāngzào
晝	zhòu	daytime, daylight		
渦	wō	swirl, whirlpool, eddy		
梳	shū	comb; brush		
鋸	jù	a saw; to saw; amputate		
惕	tì	be cautious, careful, alert	警惕	jǐngtì
贓	zāng	booty, loot, stolen goods; bribe	贓物	zāngwù
礁	jiāo	reef; jetty; submerged rocks		
毯	tǎn	rug, carpet, blanket	地毯 毯子 毛毯	dìtǎn tǎnzi máotǎn
絨	róng	silk, cotton, or woolen fabric		
淇	qí	river in Henan province	冰淇淋	bīngqílín
甦	sū	be reborn; resuscitate, revive	復甦	fùsū
嫩	nèn	soft, tender, delicate; young		
譏	jī	ridicule, jeer, mock; inspect		
裔	yì	progeny, descendants, posterity	華裔	Huáyì
吭	kēng	throat	吭聲	kēngshēng
釐	lí	manage, control; 1/1000 of a foot		
橄	gǎn	olive		
殃	yāng	misfortune, disaster, calamity		
幟	zhì	flag, pennant; sign; fasten	旗幟	qízhì
欖	lǎn	olive		
搓	cuō	to rub or roll between the hands		
瓣	bàn	petal; segment; valves	花瓣	huābàn
硫	liú	sulfur		
狡	jiǎo	cunning, deceitful, treacherous		
蹄	tí	hoof; leg of pork; little witch		
炊	chuī	cook; meal		
糙	cāo	coarse, harsh, rough, unpolished rice	粗糙	cūcāo
塘	táng	pond; tank; dike, embankment		
媳	xí	daughter-in-law	媳婦	xífù
筷	kuài	chopsticks	筷子	kuàizi
懈	xiè	idle, relaxed, remiss	不懈	bùxiè
嫂	sǎo	sister-in-law, elder brother's wife	大嫂 嫂子	dàsǎo sǎozi
橡	xiàng	chestnut oak; rubber tree; rubber		
溼	shī	damp, moist; dampness, moisture		
茄	jiā	eggplant		
膛	táng	chest; hollow space, cavity		
氫	qīng	hydrogen		
挾	xié	clasp under arm; hold to bosom		
瓷	cí	crockery, porcelain, chinaware	陶瓷	táocí
攬	lǎn	grasp, take hold of; monopolize		
桐	tóng	name applied various trees		
嫉	jí	jealousy; be jealous of	嫉妒	jídù
砌	qì	to build, pile up; stone steps, brick walk		
藻	zǎo	splendid, magnificent; algae		
瘤	liú	tumor, lump, goiter		
鞠	jū	bow, bend; rear, raise, nourish	鞠躬	jūgōng
墅	shù	villa, country house	別墅	biéshù
瑣	suǒ	fragments; trifling, petty; troublesome	瑣碎	suǒsuì
鉅	jù	steel, iron; great		
猿	yuán	ape		
蝠	fú	kind of bat		
沐	mù	bathe, cleanse, wash, shampoo	沐浴	mùyù
摟	lǒu	hug, embrace; drag, pull		
蹦	bèng	hop, leap, jump; bright		
屜	tì	drawer; tray; pad; screen	抽屜	chōuti
咽	yàn	throat; pharynx		
憎	zēng	hate, detest, abhor; hatred		
裳	shang	clothes; skirt; beautiful	衣裳	yīshang
陡	dǒu	steep, sloping; abruptly, sudden		
洶	xiōng	the rush of water; turbulent; noisy, restless		
嚨	lóng	throat	喉嚨	hóulóng
嗓	sǎng	voice; throat	嗓子	sǎngzi
揍	zòu	hit, beat; smash, break		
鞏	gǒng	bind; firm, secure, strong	鞏固	gǒnggù
傭	yōng	hire, employ, charter; servant		
骯	āng	dirty	骯髒	āngzāng
慷	kāng	ardent; generous, magnanimous	慷慨	kāngkǎi
焰	yàn	flame, blaze; glowing, blazing	火焰	huǒyàn
蒲	pú	type of rush; vine		
揉	róu	rub, massage; crush by hand		
畸	jī	odd, fractional, remainder, odds	畸形	jīxíng
鯉	lǐ	carp		
誨	huì	teach, instruct; encourage, urge	教誨	jiàohuì
扒	bā	scratch; dig up; crawl; crouch		
睬	cǎi	notice; pay attention to		
艙	cāng	hold of ship; cabin		
紡	fǎng	spin, reel, weave; reeled pongee	紡織	fǎngzhī
豁	huō	open up, clear; exempt	豁達	huòdá
壩	bà	embankment; dam		
絞	jiǎo	twist, wring; intertwine; winch		
榨	zhà	to press or extract juices; a press to extract juices; a vegetable		
纜	lǎn	hawser, heavy-duty rope, cable		
眨	zhǎ	wink		
鏟	chǎn	spade, shovel, trowel, scoop		
哺	bǔ	chew food; feed	哺乳動物	bǔrǔdòngwù
癱	tān	paralysis, palsy, numbness		
沼	zhǎo	lake, fishpond, swamps	沼澤	zhǎozé
聾	lóng	deaf		
憋	biē	to suppress inner feelings; hasty		
枷	jiā	cangue scaffold	枷鎖	jiāsuǒ
懊	ào	vexed, worried, nervous; regret	懊惱	àonǎo
惚	hū	absent-minded, confused	恍惚	huǎnghū
篩	shāi	sieve, filter, screen; sift		
拌	bàn	mix		
瘡	chuāng	tumor, boil, sore, wound		
窘	jiǒng	embarrassed; hard-pressed		
榴	liú	pomegranate		
蒜	suàn	garlic		
鯨	jīng	whale	鯨魚	jīngyú
棘	jí	jujube tree; thorns, brambles		
籬	lí	bamboo or wooden fence; hedge	藩籬	fānlí
蔬	shū	vegetables, greens	蔬菜	shūcài
揀	jiǎn	choose; select; pick up; gather		
蜻	qīng	dragonfly		
噩	è	bad, ill-omened, unlucky		
鱷	è	crocodile, alligator		
嗽	sòu	cough, gargle, clear throat	咳嗽	késou
藩	fān	fence; boundary; outlying border	藩籬	fānlí
虜	lǔ	to capture, imprison, seize; a prison	俘虜	fúlǔ
萌	méng	bud, sprout		
兢	jīng	fearful, cautious, wary	戰戰兢兢	zhànzhànjīngjīng
梢	shāo	pointed tip of something long like a branch; rudder		
儉	jiǎn	temperate, frugal, economical	節儉	jiéjiǎn
甸	diàn	suburbs of capital; govern; crops		
薑	jiāng	ginger		
撓	náo	scratch; disturb, bother; submit	阻撓	zǔnáo
蜓	tíng	dragonfly		
惋	wǎn	regret, be sorry; alarmed	惋惜	wǎnxī
灸	jiǔ	cauterize with moxa; moxibustion	針灸	zhēnjiǔ
窯	yáo	kiln; coal mine pit		
愕	è	startled, alarmed, astonished		
腺	xiàn	gland		
冶	yě	smelt, fuse metals; cast, found		
綴	zhuì	patch together, link, connect		
灼	zhuó	burn; broil; cauterize; bright		
紊	wěn	confused, disorder	紊亂	wěnluàn
剔	tī	pick out; scrape off; scrape meat	剔除 挑剔	tīchú tiāoti
孵	fū	sit on eggs, hatch		
怔	zhēng	a disease resembling neurosis		
粘	zhān	viscous, mucous; glutinous		
甭	béng	there is no need		
揪	jiū	grasp with hand, pinch		
瞇	mī	to close (the eyes); to squint		
幢	chuáng	carriage curtain; sun screen		
惦	diàn	think of, remember, miss	惦記	diànjì
渠	qú	ditch, canal, channel, gutter	渠道	qúdào
嶄	zhǎn	high, steep, precipitous; new	嶄新	zhǎnxīn
鑿	záo	chisel; bore, pierce		
訟	sòng	accuse; argue, dispute; litigate		
咐	fù	instruct, order	吩咐 囑咐	fēnfù zhǔfù
猖	chāng	mad, wild, reckless, unruly	猖獗	chāngjué
辮	biàn	braid; pigtail, plait, queue		
僱	gù	employ, hire	僱用	gùyòng
誣	wū	make false accusation; defame		
囑	zhǔ	order, tell, instruct, leave word	囑咐	zhǔfù
俘	fú	prisoner of war; take as prisoner	俘虜	fúlǔ
侈	chǐ	luxurious, extravagant	奢侈	shēchǐ
褐	hè	coarse woolen cloth; dull, dark		
肪	fáng	animal fat	脂肪	zhīfáng
睦	mù	friendly, amiable, peaceful	和睦	hémù
罹	lí	sorrow, grief; incur, meet with	罹難	línàn
拇	mǔ	thumb; big toe		
吩	fēn	order, command, instruct	吩咐	fēnfù
鉗	qián	pincers, pliers, tongs		
蛾	é	moth		
氯	lǜ	chlorine		
穀	gǔ	corn, grain, cereal; lucky		
鈣	gài	calcium		
婿	xù	son-in-law; husband		
槳	jiǎng	oar, paddle		
棕	zōng	hemp palm; palm tree		
筍	sǔn	bamboo shoot; joint; tendon		
靴	xuē	boots	靴子	xuēzi
鵲	què	magpie; Pica species (various)		
榷	què	footbridge; toll, levy; monopoly	商榷	shāngquè
簇	cù	swarm, crowd together, cluster	簇擁	cùyōng
撮	cuō	little bit, small amount, pinch	撮合	cuōhe
墟	xū	high mound; hilly countryside; wasteland	廢墟	fèixū
疙	gē	pimple, sore, boil, wart, pustule	疙瘩	gēda
嗅	xiù	smell, scent, sniff; olfactive		
峭	qiào	steep, precipitous, rugged	峭壁	qiàobì
矚	zhǔ	watch carefully, stare at, focus on	矚目	zhǔmù
瘩	da	pimples	疙瘩	gēda
叨	dāo	talkative; quarrelous	嘮叨	láodao
稠	chóu	dense, crowded, packed; soupy	稠密	chóumì
酗	xù	drunk, to become violent under the influence of alcohol	酗酒	xùjiǔ
琢	zuó	polish jade; cut jade		
寨	zhài	stockade, stronghold, outpost; brothel		
篷	péng	awning, covering; sail; boat	帳篷	zhàngpeng
欸	āi	sigh; an exclamatory sound		
濺	jiàn	sprinkle, spray; spill, splash		
鑲	xiāng	insert, inlay, set, mount; fill		
錘	chuí	balance weight on scale; hammer		
綢	chóu	silk cloth, satin damask		
棗	zǎo	date tree; dates, jujubes; surname		
潢	huáng	expanse of water, lake, pond	裝潢	zhuānghuáng
嗦	suo	suck	囉嗦	luōsuo
慫	sǒng	to alarm; to instigate, arouse, incite	慫恿	sǒngyǒng
髦	máo	flowing hair of young child	時髦	shímáo
賂	lù	bribe; give present	賄賂	huìlù
榆	yú	elm tree		
餡	xiàn	pastry filling, stuffing		
柿	shì	persimmon		
潺	chán	sound of flowing water	潺潺	chánchán
閘	zhá	sluice; flood gate, canal lock		
畝	mǔ	Chinese land measure; fields		
貯	zhù	store, stockpile, hoard		
沃	wò	water, irrigate; fertile, rich		
